recnumb,subj,day,scc,tri,Posevent,NegEvent,pa,na,posC,negC,paC,naC,anx,anxC
154,12,4,2.25,2.666666746,0.214285716,1,2.599999905,2.599999905,-0.69047618,0.341111107,-0.67857148,0.249999932,54,10.62192387
155,12,5,2.75,5,1.428571463,0.333333343,4.300000191,2.099999905,0.523809566,-0.32555555,1.021428806,-0.250000068,54,10.62192387
156,12,6,2.75,4.333333492,0.571428597,1.166666627,2.200000048,2,-0.3333333,0.507777734,-1.078571337,-0.349999973,54,10.62192387
157,12,7,3,6,0.928571403,0.416666657,4.199999809,2.099999905,0.023809506,-0.242222237,0.921428425,-0.250000068,54,10.62192387
158,12,8,1.75,5.666666508,0.857142866,0.333333343,3.599999905,2.5,-0.047619031,-0.32555555,0.32142852,0.150000027,54,10.62192387
159,12,9,2.5,5.666666508,0.928571403,0.083333336,4.199999809,1.799999952,0.023809506,-0.575555558,0.921428425,-0.55000002,54,10.62192387
160,12,10,2.75,6.333333492,0.928571403,0.333333343,4.099999905,2.099999905,0.023809506,-0.32555555,0.82142852,-0.250000068,54,10.62192387
161,12,11,2.75,6.666666508,2.071428537,0.666666687,4.400000095,1.600000024,1.166666641,0.007777793,1.121428711,-0.749999949,54,10.62192387
162,12,12,1.5,2.666666746,0.5,1.583333373,1.700000048,4,-0.404761897,0.92444448,-1.578571337,1.650000027,54,10.62192387
163,12,13,1.5,2.333333254,0.285714298,0.916666687,2.599999905,2.900000095,-0.619047598,0.257777793,-0.67857148,0.550000123,54,10.62192387
164,12,14,1.75,4,1.071428537,0.75,3.099999905,2.299999952,0.166666641,0.091111107,-0.17857148,-0.05000002,54,10.62192387
165,13,1,3.5,3.333333254,0.428571433,0.833333313,2,4.699999809,-0.114285716,0.699999981,-1.613333384,0.866666492,46,2.621923873
166,13,2,3.25,3.666666746,0.857142866,0,2.400000095,3.599999905,0.314285716,-0.133333332,-1.213333289,-0.233333413,46,2.621923873
167,13,3,3.25,5,0.357142866,0,3,2.5,-0.185714284,-0.133333332,-0.613333384,-1.333333317,46,2.621923873
168,13,4,2.75,3,0.571428597,0,2.5,2.599999905,0.028571448,-0.133333332,-1.113333384,-1.233333413,46,2.621923873
169,13,5,2.75,3,0,0.5,3.400000095,5.099999905,-0.542857149,0.366666668,-0.213333289,1.266666587,46,2.621923873
170,13,6,2.5,4,0.714285731,0,4.199999809,4.300000191,0.171428582,-0.133333332,0.586666425,0.466666873,46,2.621923873
171,13,7,3,2.666666746,0.428571433,0,4.300000191,4.599999905,-0.114285716,-0.133333332,0.686666807,0.766666587,46,2.621923873
172,13,8,3,4,0.857142866,0,4.400000095,4.199999809,0.314285716,-0.133333332,0.786666711,0.366666492,46,2.621923873
173,13,9,3,4,0.714285731,0,4.300000191,4.300000191,0.171428582,-0.133333332,0.686666807,0.466666873,46,2.621923873
174,13,10,4,5,0.214285716,0,4.599999905,4.300000191,-0.328571433,-0.133333332,0.98666652,0.466666873,46,2.621923873
175,13,11,3,4,0.928571403,0,4.300000191,4.400000095,0.385714254,-0.133333332,0.686666807,0.566666778,46,2.621923873
176,13,12,2.75,5,0.285714298,0,4.400000095,4.400000095,-0.257142851,-0.133333332,0.786666711,0.566666778,46,2.621923873
177,13,13,4,5.333333492,0.428571433,0,3.400000095,2.599999905,-0.114285716,-0.133333332,-0.213333289,-1.233333413,46,2.621923873
178,13,14,3,4.666666508,0.857142866,0.5,3.599999905,2.299999952,0.314285716,0.366666668,-0.01333348,-1.533333365,46,2.621923873
179,13,15,3,4.666666508,0.5,0.166666672,3.400000095,3.599999905,-0.042857149,0.033333339,-0.213333289,-0.233333413,46,2.621923873
180,14,1,4,7,1.857142806,0.666666687,4.699999809,1.200000048,0.606060551,0.295454562,0.118181662,-1.072727214,44,0.621923873
181,14,2,3,6.333333492,1.714285731,0.25,5.099999905,2.099999905,0.463203476,-0.121212125,0.518181757,-0.172727357,44,0.621923873
182,14,3,3,5.666666508,0.428571433,0.75,4.400000095,2,-0.822510822,0.378787875,-0.181818052,-0.272727262,44,0.621923873
183,14,4,3,3.333333254,0.5,0.333333343,4.199999809,3.900000095,-0.751082255,-0.037878782,-0.381818338,1.627272833,44,0.621923873
184,14,5,3,6,1.285714269,0.166666672,4.5,2.700000048,0.034632014,-0.204545453,-0.081818147,0.427272786,44,0.621923873
185,14,6,3,5.666666508,1.333333373,0,4.400000095,2.099999905,0.082251118,-0.371212125,-0.181818052,-0.172727357,44,0.621923873
186,14,7,3,6,1.642857194,0.166666672,4.900000095,2.5,0.391774939,-0.204545453,0.318181948,0.227272738,44,0.621923873
187,14,8,3,6,1.285714269,0.25,4.5,1.799999952,0.034632014,-0.121212125,-0.081818147,-0.47272731,44,0.621923873
188,14,9,3,3,1.428571463,0.75,4.599999905,3.099999905,0.177489208,0.378787875,0.018181757,0.827272643,44,0.621923873
189,14,10,3,6,1.214285731,0.25,4.400000095,2.5,-0.036796524,-0.121212125,-0.181818052,0.227272738,44,0.621923873
190,14,11,3,6,1.071428537,0.5,4.699999809,1.100000024,-0.179653718,0.128787875,0.118181662,-1.172727238,44,0.621923873
191,15,1,3.75,5.333333492,1.928571463,0.666666687,4.800000191,2.099999905,0.449579874,0.446078448,1.417647264,-0.329411829,40,-3.378076127
192,15,2,5.25,6,2.142857075,0.166666672,5.400000095,2.299999952,0.663865486,-0.053921567,2.017647168,-0.129411782,40,-3.378076127
193,15,3,5,5.333333492,0.785714269,0.166666672,3.299999952,3.299999952,-0.69327732,-0.053921567,-0.082352975,0.870588218,40,-3.378076127
